زۆر	abundance	abundant	ample	copious	deal	duress	extra	greatly	jolly	lot	many	much	multi	numerous	plentiful	richly	so	too	vast	very
دامەزراندن	appoint	creation	deploy	employ	establish	establishment	foundation	inauguration	install	installation										
ناکۆکی	conflict	contention	discordance	dispute	enmity	opposition	paradox	quarrel	wrangle											
پاک	blameless	clean	devotee	disinterested	holy	innocence	pure	unadulterated	wholesome											
باش	fast	faultless	favorable	favoring	favour	feat	fluent	great	well											
هێز	accent	effect	force	gravitations	might	power	strength	vigor	vigour											
هەڵگر	bearer	braces	holder	picker	porter	savings	sling	stand	vector											
گۆڕین	alter	conversion	modify	replace	reverse	shift	transplant	turn	vary											
هاندان	cheer	elevate	encourage	excites	motivate	promote	prompt	stimulate	urge											
نائاسایی	abnormality	exceptional	extraordinary	surreal	unearthly	unfamiliar	unique	unnatural	unusual											
ڕوون	definite	distinct	explicit	obvious	patent	plain	thin	transparent	unmistakable											
هەڵگرتن	abduct	bear	carry	pick	protect	save	saving	storage	undertake											
کۆتایی	afterlife	closure	conclusion	deciding	end	finish	irrevocable	last	ultimate											
گواستنەوە	carry	convection	move	transaction	transfer	transition	transmit	transport	transportation											
بڵاوکردنەوە	announcement	circulate	deal	deploy	diffusion	distribute	issue	publish	spread											
جووت	couple	double	dual	duo	even	geminate	match	pair	spouse											
هەڵبژاردن	choose	elect	electing	elections	go for	nominate	opt	pick	selection											
دڵخۆش	bright	content	contented	excited	gay	glad	joyful	merry	pleased											
داهێنان	concoct	creation	develop	devise	initiate	innovate	innovation	invent	invention											
وازهێنان	abandonment	cancel	cease	condescension	resign	resignation	withdraw	yield												
ویستن	choose	hunger	intend	need	require	take	want	wish												
دڕندە	barbarian	barbaric	brutal	cockeyed	hostile	monster	savage	wild												
بوون	be	become	been	exist	existence	happen	is	were												
لاواز	fainthearted	feckless	feeble	fragile	lean	poor	slender	weak												
دەنگ	audio	phone	phoneme	phones	sound	voice	vote	votes												
دروست	accurate	correct	judicious	logical	precise	right	TRUE	valid												
وتن	declare	pronounce	quote	relate	say	state	statement	utter												
بەکارهێنان	consumption	occupy	run	spend	usage	use	utilisation	utilize												
یەکگرتن	amalgamations	cohesion	conjoin	federation	fusion	join	union	unite												
ئازاردان	annoy	grieve	injure	kill	molest	offend	torment	trouble												
ناردن	delivery	dispatch	refer	route	send	submit	transfer	transmission												
دژوار	adverse	arduous	difficult	hard	inexplicit	severe	strict	tough												
لێدان	batter	blow	coupe	hit	play	smite	strike	thumps												
مەبەست	contemplation	intent	intention	meaning	objective	opinion	purpose	target												
ڕاگرتن	cease	keep	maintain	peg	refrain	retain	stop	suspension												
چاودێری	care	careful	control	lookout	monitoring	observation	supervision	surveillance												
بڕین	crop	crossover	cut	intersect	omission	penetrate	pink	stop												
ئارام	calm	comforter	patient	peaceful	quiet	relaxed	retiring	still												
شوێن	from	locale	location	place	position	room	site	space												
ڕەسەن	aboriginal	authentic	genuine	native	noble	original	primal	sincere												
دەرکردن	banish	evict	eviction	expelled	issue	oust	pass	sack												
دۆزینەوە	detection	discover	discovery	explore	find	finding	guess	recover												
باشی	fantastical	favorableness	favourably	fluency	goodness	improvement	merit	privilege												
دروستکردن	concoct	construction	creation	develope	fabricate	fabrication	fashioning	manufacturing												
ئیش	business	employment	job	labor	occupation	vocation	work													
شەکەت	exhaust	exhausted	feckless	tired	wearied	weary	wilt													
نامۆ	bizarre	freaky	odd	strange	unearthly	unknown	weird													
شێواز	dialect	manner	method	mode	pattern	style	way													
سەرکەوتوو	conqueror	hit	succeed	successful	thriving	victor	victorious													
دەربڕین	declare	express	quote	say	state	statement	utter													
گشتی	common	general	official	overall	popular	public	utter													
جۆر	class	kind	mode	rate	sort	species	type													
گەشەکردن	bloom	develop	evolve	germinate	grow	prosperity	thrive													
ترساندن	dread	frighten	horrify	intimidation	menace	scare	threaten													
ماوە	break	duration	period	remaining	rest	run	term													
دەستە	assembly	band	crew	group	lot	set	team													
باج	badge	badged	custom	duty	excise	scot	tax													
وەرگرتن	acceptance	admissions	admittance	embrace	receive	receiving	take													
هێما	allusion	code	crossword	emblem	sign	signs	symbol													
دەرچوون	departure	evade	exodus	flee	issue	pass	success													
سەخت	difficult	hard	intense	mounatinous	rocky	severe	strict													
زرنگ	astute	clever	discerning	ingenious	intellectual	intelligent	smart													
بچووک	kid	little	micro	minor	minute	slight	small													
هاوار	blatant	call	cry	roar	scream	shout	shriek													
شێوە	design	fashion	figure	form	image	pattern	shape													
ئاشکرا	distinct	gross	obvious	out	patent	plain	sensible													
درز	crack	cranny	crevice	fissure	lacuna	scar	seam													
ڕاست	accurate	correct	factual	instant	just	real	right													
پێداچوونەوە	edit	practice	practise	reconsider	reform	review	revise													
پەیوەندی	connection	contact	link	relate	relation	relationship	relatives													
پێزانین	acknowledge	acknowledgment	appreciate	cognition	detection	gratitude	realise													
هەبوون	be	enjoy	exist	existence	owe	own	possess													
لکاندن	annexation	append	attaching	docking	juxtaposing	juxtaposition	paste													
سەرەتا	abc	abcs	begin	beginning	genesis	initial	opening													
شکاندن	abasement	break	burst	crush	damage	infringe	infringement													
هاوڕێ	buddy	feller	fellow	mate	pal	yokefellow														
بەهرە	bent	gift	quota	talent	vocation	yield														
سزادان	penalize	punish	punishing	retribution	sanction	wreak														
گەمژە	fool	idiot	jackass	lunatic	stupid	witless														
ژیری	intelligence	sagacity	sanity	sense	tact	wisdom														
ماندوو	cumbersome	exhaust	tired	wearied	weary	wilt														
ئامادە	accessible	apt	prepared	present	ready	willing														
خواست	demand	desire	facultative	intent	volition	will														
خولانەوە	circulate	orbit	roam	spin	whirl	whirling														
لاسار	delinquent	mutineer	naughty	outlaw	stubborn	whelp														
شێدار	damp	dank	humid	moist	oozy	wet														
چەک	ammunition	arms	colt	gun	weapon	weaponry														
دارایی	financial	fortune	possession	richness	treasury	wealth														
سامان	fortune	possession	property	richness	supply	wealth														
پاشماوە	imprint	inheritance	relic	remainder	remnant	waste														
پیشە	career	concern	function	profession	trade	vocation														
هەڵسەنگاندن	appraise	assessment	critique	evaluate	rating	verify														
گۆڕان	alter	alteration	become	change	convert	vary														
بەتاڵ	blank	defeasance	devoid	empty	hollow	vacant														
ئامێر	apparatus	device	instrument	machine	tool	utensil														
داگیرکردن	colonize	conquer	conquering	invade	occupy	usurp														
بەرگر	defender	firm	plate	reluctant	resistor	unwilling														
کردنەوە	develope	disclose	inauguration	opening	redo	unlock														
جیاواز	diff	different	dissimilar	distinct	other	unlike														
سەرجەم	amount	gross	overall	sum	total	unanimity														
فێرکردن	education	instruction	learn	teach	train	tuition														
کارەسات	calamity	catastrophe	disaster	disastrous	outbreak	tragedy														
نیشانە	brand	emblem	indication	sign	signs	trace														
بەهێز	bouncing	firm	intense	powerful	strong	tough														
پشوو	break	breath	holiday	leisure	rest	tolerance														
سەختی	cruelty	difficulty	hardship	privation	strictness	toil														
بیر	intellect	judgement	memory	mind	recollect	thought														
ئەرک	assignment	duty	ergonomics	function	mission	task														
پارچە	component	morsel	passage	piece	slice	tag														
پلان	conspiracy	layout	policy	scheme	strategy	tactic														
ڕەوشت	custom	ethic	mien	morale	morality	tact														
پاشکۆ	addendum	affiliated	annex	appendix	attachment	supplemented														
لەناوبردن	abolish	eleminate	obliterate	overthrow	subversion	subvert														
دوایی	deciding	final	finish	following	next	subsequent														
هێرش	attack	campaign	offensive	raid	rush	stroke														
وەستان	cease	freeze	pause	stand	stay	stop														
وەستاندن	aborting	ban	cease	freeze	sabotaging	stop														
یاسا	convention	law	principle	regulation	rule	statue														
بنکە	base	center	centre	headquarters	stand	station														
بار	burden	case	fare	load	phase	state														
دابەزین	descend	descent	diminish	reduce	sink	slump														
نموونە	example	illustration	instance	model	sample	showcase														
دانان	invest	lay	leave	place	put	set														
بەڕێوەبردن	administer	conduct	direct	keep	manage	rule														
ئاکام	aftermath	consequence	consequent	denouement	outcome	result														
گرتنەوە	catching	contain	embrace	include	reserve	restrain														
تێبینی	comment	heed	note	notice	observation	remark														
هێورکردنەوە	conciliating	cool	defuse	kill	pacify	relieve														
نەهێشتن	bar	forbid	interdiction	prevent	prohibit	refrain														
پێشەکی	deposit	entry	introduction	preamble	preface	prologue														
ماڵ	cabana	domicile	home	household	households	possession														
هاندەر	abettor	cheering	impetus	impulse	inductor	motivation														
بەرگ	clam	coat	cover	housing	housings	leaf														
نادروست	fake	farfetched	imprecise	inappropriate	incorrect	invalid														
ژماردن	calculate	computation	count	counting	figure	include														
بەخشین	apology	donate	donation	endowment	forgive	grant														
چۆڵکردن	abandon	abandoning	abandonment	desertion	emptying	evacuation														
گەنج	juvenile	sapling	treasure	young	youthful															
لاو	juvenile	minor	sapling	young	youthful															
هەرزەکار	adolescent	juvenile	teenager	young	youngster															
بەرهەم	crops	harvest	output	product	yield															
تێکشکان	abend	crash	disintegrate	stalling	wreck															
نرخ	price	rate	reputation	value	worth															
هۆش	intellect	mind	sense	whoa	wit															
زانا	astute	expert	knowing	scientist	wise															
قازانج	benefit	markup	profit	utility	winnings															
ویست	choice	claim	volition	will	willpower															
گوناهکار	culprit	guilty	sinister	sinner	wicked															
ئەگەر	if	likelihood	possibility	provided	whether															
چەرخ	axle	day	era	lighter	wheel															
بەناوبانگ	famous	grand	popular	prominent	well-known															
سەرچاوە	origin	provenance	reference	resource	wellhead															
کەش	ambience	atmosphere	climate	weather	welkin															
گران	cumbersome	difficult	expensive	heavy	weighty															
شکان	break	crack	defeat	flaw	waterloo															
هێنانەبەرچاو	figure	imagine	visualisation	visualization	visualizing															
وێناکردن	conceptualize	figure	imagine	visualisation	visualization															
بینایی	foresight	optic	sight	visibility	vision															
زاڵ	conqueror	dominant	dominion	victor	victorious															
سەلماندن	affirm	assertiveness	proof	prove	verification															
کردار	act	action	function	operation	verb															
سوود	advantage	benefit	gain	interest	utility															
ئامراز	device	facility	instrument	tool	utensil															
کاڵ	light	rare	raw	uncooked	unripe															
گرفت	difficulty	dispute	hardship	problem	unpleasantness															
شێواو	awry	deformed	disarray	jagged	uneasy															
داگیرساندن	launch	light	start	starting	turn-on															
ڕاکێشان	attract	drag	draw	pull	tug															
جانتا	bag	case	luggage	sack	trunk															
خەڵات	award	gift	medal	prize	trophy															
گەڕان	browse	explore	hunt	search	trip															
دەرمان	drug	medicament	medicine	treat	treatment															
خۆشەویست	cute	honey	lover	popular	treasure															
هەموو	complete	every	everyone	thorough	total															
زانیاری	facts	info	information	knowledge	tidings															
تاقیکاری	beta	exam	experimental	investigatory	tentative															
وتووێژ	argument	communicate	dialogue	discuss	talk															
تیژ	piercing	severe	sharp	shrill	swift															
وادانان	assume	consideration	hypothesis	imagine	suppose															
خستنەسەر	addition	annexation	push	rest	supplemented															
پتەو	massive	solid	stable	strict	strong															
پلە	grade	rank	role	standing	step															
مانەوە	abide	be	remain	remaining	stand															
بەرگەگرتن	abide	bear	endure	maintenance	stand															
تایبەتمەندی	attribute	feature	features	property	specification															
تاک	individual	mate	single	singular	solitary															
زەوی	aard	earth	field	floor	soil															
تۆمەت	accusation	charge	defamation	indictment	slander															
کارامە	devotee	feat	professional	skilful	skilled															
تێکەڵکردن	beater	blend	combine	merge	shuffle															
وێنە	figure	image	picture	sample	shape															
ڕێکخستن	adjustment	arrangement	organize	range	setting															
تۆمارکردن	enrol	enter	record	registration	score															
ڕزگارکردن	release	rescue	salvage	salvation	save															
ڕاکردن	desertion	escape	run	running	runs															
داڕمان	collapse	eroding	plummet	rockfall	ruin															
ڕیز	cuing	order	queue	regard	row															
مەترسی	danger	jeopardy	menace	peril	risk															
شەق	cranny	crevice	fissure	kick	rift															
بەستنەوە	binding	connect	connection	relate	restrict															
ئازادکردن	exoneration	redeem	release	relieve	rescue															
لێدوان	comment	discourse	oration	remark	report															
لێکدانەوە	analyse	computation	explain	explanation	report															
چاککردن	improve	maintenance	patch	rectify	repair															
نێردراو	apostle	consignment	deputation	dispatched	rep															
سڵاو	greeting	hello	hey	hi	regard															
هاتوو	arrival	arrivals	comer	incident	received															
هۆکار	factor	mean	motive	rationale	reason															
شیان	feasibility	fit	merit	potential	qualify															
کێشە	case	difficulty	hardship	problem	puzzle															
بەند	accord	chapter	frigid	paragraph	provision															
بەرەنگاربوونەوە	challenge	clash	confront	oppose	protest															
بەردەوامبوون	continue	keep	persist	proceed	progress															
دروستکەر	creator	fabricator	maker	manufacturer	producer															
هەڵە	bug	FALSE	fault	mistake	problem															
گیراو	captive	cloudy	detainee	impassable	prisoner															
ڕاهێنان	drill	exercise	familiarization	practice	practise															
لەبار	applicable	convenient	fair	fit	practical															
وەدەرنان	deportation	eliminate	fire	oust	out															
لێکدان	clash	connect	disturb	integration	multiplication															
تەماوی	fog	fogginess	foggy	hazy	misty															
چاکە	beneficence	benevolence	commendation	goodness	merit															
داهێنەر	creative	creator	ingenious	inventor	maker															
کەلوپەل	belongings	commodity	goods	hardware	luggage															
خستنەپاڵ	append	combine	juxtapose	juxtaposing	juxtaposition															
کەمتەرخەم	complacent	defaulter	dismissive	indifference	indifferent															
کڵاو	beret	bonnet	cap	hat	hood															
دەرکەوتن	appear	appearance	emerge	emergence	happen															
ناسک	dainty	delicate	elegant	fine	fragile															
شێواندن	corruption	deformity	disfigurement	disturb	falsify															
شیکردنەوە	analyse	analysis	analyze	digest	explain															
جیاوازی	contrast	diff	difference	disagreement	discord															
ڕاگەیاندن	advertisement	announce	announcement	communicate	declare															
یاریدەدەر	assistant	auxiliary	deputy	yeoman																
ئارەزوو	appetite	hobby	whim	yearning																
چنین	knit	texture	weave	yarn																
داو	ambushed	noose	trap	yarn																
بەسەرهات	event	happening	story	yarn																
خواستن	aspire	hunger	request	would																
بەها	merit	price	value	worth																
دار	arbor	stick	tree	wood																
خێزان	family	household	households	wife																
بەدکار	devil	immoral	villain	wicked																
شار	city	metropolis	town	wick																
کۆمەڵ	aggregate	pile	society	wholesale																
سووڕانەوە	circulate	roam	turn	whirling																
ئاسمان	atmosphere	heaven	sky	welkin																
ڕێگا	avenue	road	route	way																
بەئاگا	awake	cautious	wary	watchful																
ئاگادار	evidence	knowing	observant	wary																
ئاگاداری	attn	notice	statement	warning																
جەنگ	battle	clash	engagement	war																
ڕەهەند	dimension	nomad	vessel	wanderer																
کرێ	pay	rent	wage	wages																
مەرج	constraint	provisioner	term	wager																
پەیمان	pact	promise	treaty	vow																
چالاکی	activity	vigour	vitality	vocation																
توندوتیژ	stern	strict	uncharitable	violent																
پیشاندان	demo	show	showing	view																
نزیکی	familiarity	familiarness	proximity	vicinity																
نزیکەی	approximately	around	nearly	vicinity																
تاوان	crime	guilt	sin	vice																
مەیل	affinity	mood	tendency	vein																
بڕواپێکراو	responsible	standing	trusted	valid																
بەسوود	fat	helpfully	profitable	useful																
ئاژاوە	commotion	disturbance	outbreak	unrest																
دیار	dominant	prominent	sensible	unmistakable																
یەکێتی	combination	confederation	federation	union																
شەڕانی	aggressive	hostile	quarrelsome	ungodly																
کراوە	open	sincere	unclose	undone																
بنچینەیی	basic	essential	primal	ultimate																
گەورەترین	biggest	greatest	maximum	ultimate																
برین	hurt	injury	stab	ulcer																
کاتی	temporary	tentative	transient	transition																
یاری	match	play	sport	toy																
توند	fast	fierce	severe	tough																
لێشاو	current	flow	stream	torrent																
ئازار	ache	inconvenience	malady	torment																
بابەت	issue	subject	theme	topic																
بەرزترین	highest	maximum	superlative	top																
باشترین	champion	finest	greatest	top																
کەرەستە	device	equipment	ingredient	tool																
ناونیشان	address	header	subject	title																
کات	duration	period	provisioner	time																
فڕێدان	discard	pitch	throw	thrust																
هەڵدان	eject	guess	pump	throw																
گەروو	glottis	gullet	pharynx	throat																
گەشەسەندن	develop	grow up	prosper	thrive																
پەرەسەندن	develop	evolve	grow up	thrive																
بڕوانامە	acknowledgment	certificate	license	testimony																
ناخۆش	crucial	horrible	offensive	terrible																
مەودا	distance	interval	reach	term																
ڕووکار	facade	front	interface	template																
پۆل	class	flock	grade	taxonomy																
توانا	capability	faculty	knack	talent																
ئەفسانە	fiction	legend	saga	tale																
بردن	carry	mugger	nick	take																
هێنان	bring	browse	import	take																
سازدان	configure	construct	form	tactic																
دڵسۆزی	deplore	faithfully	fealty	sympathy																
بەرزبوونەوە	ascending	ascent	soar	swell																
دڵگیر	glamorous	obnoxious	saddened	sweet																
راگرتن	detain	detention	restrain	suspend																
ڕاپرسی	ballot	poll	referendum	survey																
شێو	basin	dinner	food	supper																
بنەبڕکردن	extinction	overthrow	subversion	subvert																
جێگۆڕکێ	displacement	relieve	subrogation	substitute																
یارمەتی	ally	grant	help	subsidy																
هەڵچوون	fizz	outbreak	rage	sublimation																
دژواری	difficulty	hardship	severity	strictness																
زەبر	blow	duress	hit	stress																
سنووردارکردن	confine	infringement	restrict	stinting																
پێوەدان	bite	close	shut	sting																
خێرایی	acceleration	fastness	hurry	speed																
دووان	dual	pair	pronounce	speak																
چاوگ	gerund	infinitive	provenance	source																
دروشم	emblem	motto	signs	slogan																
پیسایی	dirt	faeces	garbage	shit																
پەناگا	cover	housing	housings	shelter																
جیاکردنەوە	discriminate	segregate	select	sever																
جێگیرکردن	freeze	mount	set	setup																
سوور	decided	pertain	red	serious																
داواکردن	demanding	request	require	seek																
داخستن	close	closing	restrain	seal																
بوار	course	opportunity	room	scope																
پێوەر	analogy	criterion	indicator	scale																
گەشت	journey	picnic	picnics	route																
برژاندن	bake	fry	grilling	roast																
پێشبڕکێ	compete	competition	race	rivalry																
سەرهەڵدان	appear	burst	outbreak	revolt																
هێشتنەوە	keep	maintain	preserve	retain																
ئەنجام	aftermath	consequence	denouement	result																
پشوودان	break	relaxing	repose	rest																
بەرگری	defence	defend	defensive	resistance																
تەرخانکردن	allocation	dedication	devote	reserve																
نواندن	expose	parade	perform	represent																
چاکسازی	corrective	improvement	reform	reparation																
تێڕوانین	detection	inspect	opinion	regard																
کەمکردنەوە	abating	cut	decrease	reduction																
داشکاندن	discount	offer	rebate	reduce																
دابەزاندن	abasement	cut	deduct	reduce																
ڕاستی	fact	factual	justness	reality																
کاریگەری	effect	imprint	influence	reach																
گەیشتن	arrival	catch	come	reach																
تیشک	beam	flash	light	ray																
کوشتن	kill	murder	murdering	quench																
گونجان	compatibility	feasibility	fit	qualify																
تێخستن	insert	insertion	penetration	put																
خاوێن	clean	innocence	neat	pure																
بەر	bed	crops	fruit	pubes																
درێژەپێدان	linger	maintain	prolongation	protraction																
دانستە	attribute	feature	features	property																
سۆز	affection	emotion	emotional	promise																
بیرۆکە	concept	intuition	notion	project																
لەوانەیە	ablins	might	perhaps	probably																
بەڕێوەبەر	boss	director	manager	principal																
شکۆ	dignity	honor	prestige	pride																
ئامادەکردن	loading	make	prepare	preparing																
پەسەندکردن	acceptance	admire	approve	prefer																
وەدواخستن	adjourn	hinder	postpone	postponement																
پەیام	message	mission	oracle	post																
جێگا	ambit	employment	place	position																
ڕامیاری	policy	politic	political	politics																
پۆلیس	constable	cop	copper	police																
گرێ	knot	lump	node	plot																
کەس	bloke	fellow	guy	person																
هێشتن	allow	grant	let	permit																
دەم	entry	era	mouth	period																
ئاهەنگ	ceremony	festival	festivity	party																
هاوکار	assistant	associate	colleague	partner																
ڕابەر	courier	guide	leader	pacemaker																
قەڵەو	bold	corpulent	fat	overweight																
پوختە	brief	concise	extracts	overview																
بەرامبەر	against	equalize	even	opposite																
بۆچوون	attitude	comment	imagine	opinion																
نزیک	accessible	adjacent	close	near																
پارە	cash	cents	funds	money																
هەڵخەڵەتاندن	deceive	defraud	inviegle	mislead																
ڕەفتار	behavior	behaviour	manner	mien																
ناوەڕاست	center	centre	mid	middle																
بەبەزەیی	compassionate	kind	kindly	mercy																
تۆقاندن	frighten	horrify	intimidation	menace																
داواکاری	allegation	appeal	appellation	mandate																
پیاو	bloke	buddy	guy	man																
سەرەکی	chief	fundamental	main	major																
دادوەری	adjudication	fairness	judgement	magisterial																
گێل	ass	idiot	jackass	mad																
دین	faith	foolish	insane	lunatic																
زیان	damages	detriment	disadvantage	loss																
ڕووناکی	brightness	day	light	lightness																
درۆ	falsehood	fiction	hollow	lie																
فێربوون	acquire	discover	familiarize	learn																
ئافراندن	create	creation	establish	invent																
پێشهات	accidence	accident	happening	incident																
بەریەککەوتن	bump into	collision	crash	impact																
خەیاڵ	barfly	boozed	fiction	imagination																
خەمڵاندن	conceive	furnish	guess	guesswork																
گرووپ	aggregate	band	cluster	group																
دەگرێ	arrest	clinch	grab	grasp																
ڕازاندنەوە	adorn	decoration	format	garnishes																
خەملاندن	calculate	estimate	estimation	garnishes																
هاوپەیمانی	accord	alliance	coalition	federation																
لێوار	boundary	edge	edging	extreme																
دەرهێنان	draw	eliciting	extract	extraction																
داخوران	corrosion	dwindle	erode	eroding																
رێڕەو	ambulatory	corridor	direction	entry																
بەجێهێشتن	abandon	abandoning	abandonment	desert																
کۆکردنەوە	assemble	collect	concat	count																
ڕاستکردنەوە	amendment	compensation	correcting	correction																
ڕەگ	grass-rots	vessel	zuche																	
هەرێم	district	region	zone																	
ناوچە	area	quarter	zone																	
سفر	nil	nought	zero																	
دەسکەوت	gain	income	yield																	
سپڵە	mean	unfaithful	wretch																	
بریندار	hurt	injured	wounded																	
هێژا	dear	treasure	worthy																	
مەراق	hunger	interest	worry																	
دارستان	forest	woodland	woods																	
بەڵا	catastrophe	hardship	woe																	
شایەت	evidence	sabbath	witness																	
گەڕانەوە	back	return	withdraw																	
نیاز	intent	intention	wish																	
تاو	acceleration	hour	wire																	
بادان	sprain	whirl	wind																	
فێڵ	deceit	trick	wile																	
پان	abroad	flat	wide																	
سروە	breath	breeze	whisper																	
قورس	heavy	severe	weighty																	
گژوگیا	grass	grasses	weed																	
تۆڕ	net	network	web																	
دەوڵەت	government	state	wealth																	
لاوازی	consumption	impairment	weakness																	
سەیرکردن	look	lookup	watch																	
بەفیرۆدان	idle	squander	waste																	
ئاخنین	filling	stuff	wad																	
گەشە	grow	increase	vitality																	
چاکی	improvement	privilege	virtue																	
لادێ	country	countryside	village																	
ورە	courage	venture	vigor																	
تین	fervency	fervor	vigor																	
دیمەن	look	sight	view																	
دیتن	observation	observe	view																	
بۆری	pipe	vessel	vestibule																	
لوولە	pipe	vessel	vestibule																	
وێران	daring	ruined	venture																	
گیا	grass	plant	vegetable																	
گۆڕاو	altered	fluid	variable																	
دیارنەمان	disappear	vanish	vanishes																	
بایی	merit	price	value																	
یاسایی	legal	official	valid																	
زۆرلێکردن	force	oppress	urge																	
خەمبار	dejected	distraught	upset																	
سەرەوە	above	top	up																	
ناڕازی	opponent	reluctant	unwilling																	
یەکخستن	integration	merge	unify																	
دڵڕەق	brute	mean	unfeeling																	
تێگەیین	comprehend	tact	understand																	
چەشن	sort	species	type																	
زەحمەت	difficult	hard	trouble																	
گلان	roll	stumble	trip																	
کەمێک	little	tiny	trifle																	
تەڵە	snare	trap	trick																	
گەنجینە	reserve	store	treasure																	
لەسەرتربوون	excel	surpass	transcend																	
راهێنان	education	teach	train																	
زنجیرە	sequence	series	train																	
بازرگانی	commerce	deal	trade																	
دەزگا	establishment	gear	tract																	
قەرەباڵغی	crowd	horde	throng																	
پێشکەوتن	precede	progress	thrive																	
باریک	slender	slim	thin																	
خەست	dense	intense	thick																	
باس	issue	matter	theme																	
شانۆ	drama	theater	theatre																	
تۆقین	fright	panic	terror																	
وێستگە	station	stop	terminal																	
مۆڵەت	licence	license	term																	
تۆفان	hurricane	storm	tempest																	
مامناوەند	medium	moderate	temperate																	
خوو	custom	morality	temper																	
تاقم	crew	set	team																	
ئامانج	goal	objective	target																	
ماڵی	household	households	tame																	
کلک	forefinger	tail	tale																	
وازانین	deem	suppose	take up																	
زیادی	extra	richness	surplus																	
لایەنگری	bias	prejudice	support																	
جۆراوجۆر	assorted	diverse	sundry																	
خۆڕاگرتن	bear	endure	suffer																	
پێشکەشکردن	offer	submission	submit																	
مەزن	great	majestic	sublime																	
درێژکردن	extension	reach	stretch																	
ڕەوت	process	progress	stream																	
دەربەدەر	homeless	runabouts	stray																	
لیچ	gluey	puddle	sticky																	
گۆچان	crook	crutch	stick																	
دزین	jacking	robbery	steal																	
پەیکەر	figure	monument	statue																	
برسێتی	hunger	hungry	starvation																	
دەستپێکردن	beginning	start	starting																	
کونکردن	drill	penetrate	stab																	
گاڵتە	jest	ridicule	sport																	
تۆپ	ball	bomb	sphere																	
کوڕ	boy	guy	son																	
ڕەقی	harshness	solid	solidity																	
گاڵتەپێکردن	jest	ridicule	sneer																	
بڤە	ambushed	danger	snare																	
قۆڵ	arm	armhole	sleeve																	
شارەزایی	mastery	proficiency	skill																	
ماڵپەڕ	home page	homepage	site																	
ڕۆچوون	decadence	penetrate	sink																	
سادە	plain	routine	simple																	
گەیاندن	conduct	delivery	signify																	
چوونەوەیەک	contraction	gravity	shrink																	
قیژە	shout	shriek	shrill																	
لەرزین	quake	shake	shiver																	
کۆمەڵە	confederation	group	set																	
هەست	emotion	sensation	sense																	
وادەرکەوتن	look	pretend	seem																	
